kW,CH01+CH03+CH04+CH05+CH06+CH07,CH01+CH02+CH04+CH05+CH06+CH07,CH01+CH02+CH03+CH05+CH06+CH07,CH01+CH02+CH03+CH04+CH06+CH07,CH01+CH02+CH03+CH04+CH05+CH07,CH01+CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH06+CH07
13400,7.25133161746855,7.481237920197916,6.660769132778087,7.040414845560435,7.0690838791143875,6.6674815344975,6.805367618469712
13500,7.226632082695767,7.453205908692347,6.710476365112252,7.092955254855662,7.121838236421212,6.65054764701514,6.7866900718480645
13600,7.206854909966379,7.419286431658644,6.673272490998575,7.048465918432712,7.076776424806087,6.628871839525992,6.768249219446897
13700,7.259846490186719,7.473840008362017,6.722340671079447,7.100292873715306,7.12881154557672,6.6776135442283895,6.818015757825183
13800,7.312838070407061,7.528393585065389,6.771408851160318,7.1521198289978996,7.180846666347352,6.726355248930786,6.867782296203469
13900,7.3658296506274015,7.582947161768762,6.82047703124119,7.203946784280493,7.232881787117986,6.7750969536331835,6.917548834581755
14000,7.418821230847742,7.637500738472134,6.8695452113220625,7.255773739563087,7.2849169078886185,6.82383865833558,6.967315372960041
14100,7.393618680991721,7.5967336345330585,6.865491285526032,7.2604376734384,7.291405668428574,6.7968440775318095,6.943913040873072
14200,7.364616961339842,7.56466229595029,6.8226283310168405,7.20961714219031,7.23993627247823,6.776165165582597,6.921279593963935
14300,7.416480461067588,7.617934565640081,6.870675009404283,7.260389093895876,7.290921739185824,6.823884638579658,6.9700209995552305
14400,7.468343960795333,7.671206835329872,6.9187216877917255,7.311161045601441,7.341907205893417,6.871604111576718,7.018762405146526
14500,7.520207460523078,7.724479105019663,6.966768366179168,7.361932997307006,7.39289267260101,6.919323584573779,7.067503810737821
14600,7.490581054425743,7.6782419004742195,7.01481504456661,7.412704949012572,7.443878139308603,6.887938404196022,7.04004833344244
14700,7.5418864041135905,7.730832598422673,6.965811891456015,7.355189630270271,7.3856703062255455,6.935116064498734,7.088267842575608
14800,7.593191753801437,7.783423296371127,6.958809652246047,7.356930635490351,7.389270823833101,6.982293724801447,7.136487351708775
14900,7.558815701486277,7.746010950566492,7.005828636382844,7.4066396262706915,7.439198329399541,6.9569567182455865,7.1089713248852595
15000,7.609546008207662,7.797997601241436,7.052847620519643,7.456348617051032,7.48912583496598,7.003647702931798,7.156682541830799
15100,7.660276314929046,7.8499842519163785,7.09986660465644,7.506057607831372,7.53905334053242,7.0503386876180105,7.204393758776337
15200,7.6256442410002565,7.797578048741546,7.146885588793237,7.555766598611712,7.58898084609886,7.014010541988096,7.172373349785877
15300,7.6758129531121,7.848877904325371,7.092113264658415,7.491795952483591,7.524234608530443,7.060155348185386,7.219560016560784
15400,7.725981665223944,7.900177759909197,7.13846694612677,7.540761939101131,7.573412612507766,7.1063001543826765,7.2667466833356915
