kW,CH01+CH02+CH03+CH04+CH05,CH01+CH02+CH03+CH04+CH06,CH01+CH02+CH03+CH04+CH07,CH01+CH02+CH03+CH05+CH06,CH01+CH02+CH03+CH05+CH07,CH01+CH02+CH03+CH06+CH07,CH01+CH02+CH04+CH05+CH06,CH01+CH02+CH04+CH05+CH07,CH01+CH02+CH04+CH06+CH07,CH01+CH02+CH05+CH06+CH07,CH01+CH03+CH04+CH05+CH06,CH01+CH03+CH04+CH05+CH07,CH01+CH03+CH04+CH06+CH07,CH01+CH03+CH05+CH06+CH07,CH01+CH04+CH05+CH06+CH07,CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH07,CH02+CH03+CH04+CH06+CH07,CH02+CH03+CH05+CH06+CH07,CH02+CH04+CH05+CH06+CH07,CH03+CH04+CH05+CH06+CH07
10300,6.367398244548297,6.341035710281385,6.78917531080598,5.9651064235685105,6.360030387525403,6.33372870129615,6.796916917662776,7.361458816672922,7.3262452283024055,6.829004583341878,6.541037559409051,7.0513952813401595,7.019079092166997,6.561357300200468,7.595214682418523,6.078095427242318,6.520979948685074,6.493333109105317,6.09968952436852,6.978068779700158,6.708638570003677
10400,6.385832022420175,6.357675808070396,6.855089634211863,5.972929633097288,6.421778255365456,6.395221212959219,6.776670737681139,7.375000789962193,7.337471797072585,6.8297347900555145,6.524640020956677,7.066686585326233,7.032222494409114,6.564505496579972,7.561431318539429,6.068054178396084,6.538794052459425,6.50927592969567,6.106543440208948,6.954953812533376,6.689747116419283
10500,6.447234253404985,6.418807306224919,6.921003957617747,6.030361648800147,6.483526123205508,6.456713724622289,6.841831033235765,7.445914259096446,7.408024410505974,6.895405316882972,6.587376944235107,7.1346354948005235,7.099840018393817,6.627625741739395,7.634137388910001,6.126400853188354,6.601667072194611,6.57186512132736,6.165260204057111,7.02182836842312,6.754071607923315
10600,6.508636484389794,6.479938804379442,6.98691828102363,6.087793664503005,6.54527399104556,6.518206236285358,6.839973988151164,7.516827728230697,7.478577023939365,6.961075843710429,6.598184464186687,7.202584404274814,7.16745754237852,6.6907459868988175,7.637462082709247,6.135679403342436,6.664540091929798,6.634454312959049,6.223976967905274,7.02455159712956,6.7697795873272915
10700,6.491852142960839,6.463567619119372,7.052832604429513,6.076770503188313,6.607021858885613,6.579698747948427,6.904502044643156,7.484280099871557,7.446711714564723,6.937928847278021,6.660431487433732,7.186301179118515,7.151657811963114,6.681120439644786,7.709513611791409,6.193563171298496,6.650588998052354,6.620907515708841,6.21564028400951,7.090820951819461,6.833645432490756
10800,6.552523658315614,6.523974793129834,7.009351223624593,6.133562750881661,6.572673426386423,6.545882442086188,6.969030101135148,7.554226642861011,7.516307151149439,7.002769303794638,6.722678510680776,7.253462872381305,7.218495735439404,6.743560817585392,7.781565140873572,6.251446939254557,6.7127440354173284,6.682785156042569,6.273730380121748,7.157090306509363,6.897511277654221
10900,6.6131951736703884,6.5843819671402954,7.055964383882197,6.19035499857501,6.605405809068006,6.576660290428673,7.03355815762714,7.624173185850465,7.585902587734156,7.067609760311255,6.7849255339278205,7.320624565644095,7.285333658915695,6.806001195525997,7.853616669955734,6.309330707210617,6.774899072782303,6.744662796376296,6.331820476233986,7.2233596611992645,6.961377122817686
11000,6.627699231530608,6.597017897757756,7.120698002082951,6.194032661594245,6.666005862362208,6.636996623368385,6.936606318917359,7.632822653874868,7.592158269105739,7.063298200586067,6.708046248143491,7.331255047824959,7.293732532552193,6.8042911316381405,7.739660603111147,6.242509843202201,6.788609497978996,6.756423906207466,6.334351435339916,7.126470973150053,6.885445023808764
11100,6.687951042726341,6.656990787737372,7.185431620283705,6.25034204942692,6.7266059156564095,6.697332956308098,6.999666376362062,7.702211950728277,7.661177889733973,7.1275100024095766,6.769028486762977,7.397902820987004,7.360039191939031,6.866148323743942,7.8100211540485205,6.299259932685858,6.850324129778805,6.817845941718443,6.391936448388461,7.191257072905962,6.9480399785706615
11200,6.665297779973862,6.63481973341178,7.250165238484459,6.234182520982872,6.7872059689506115,6.75766928924781,7.062726433806765,7.662111274785924,7.621862929252486,7.097862816865459,6.830010725382464,7.375567919921444,7.338266326856607,6.851289355978167,7.880381704985894,6.356010022169514,6.83083167799851,6.79882461199511,6.3787630414672645,7.256043172661872,7.010634933332559
11300,6.724809367295058,6.6940591953172435,7.198815035229905,6.2898448649202185,6.745970742927485,6.717048217676356,7.125786491251469,7.730522982596512,7.689915276835097,7.161236592016043,6.89099296400195,7.441421204920743,7.403786561917826,6.912461582370829,7.950742255923268,6.41276011165317,6.891821246552068,6.8595284031736385,6.4357162829089365,7.3208292724177815,7.073229888094457
11400,6.784320954616253,6.753298657222706,7.262521362975303,6.3455072088575655,6.805669599059587,6.776491122257562,7.188846548696172,7.798934690407101,7.7579676244177085,7.224610367166628,6.951975202621436,7.507274489920041,7.469306796979046,6.973633808763492,8.021102806860643,6.469510201136826,6.952810815105626,6.920232194352166,6.4926695243506085,7.3856153721736915,7.135824842856355
11500,6.843832541937448,6.812538119128168,7.306747867915964,6.401169552794912,6.8355935457675585,6.80437425377192,7.082404577947278,7.867346398217689,7.82601997200032,7.287984142317212,6.866772863054252,7.57312777491934,7.5348270320402655,7.034806035156154,7.896724308432098,6.395153183813352,7.013800383659184,6.980935985530694,6.5496227657922805,7.279377112674246,7.051777234102726
11600,6.767507519021576,6.73509798300782,7.370284805897842,6.324838874112637,6.895033489643798,6.86354272554385,7.143990704712037,7.756593083719335,7.714047599450432,7.180581555140394,6.926483931428637,7.486122582798594,7.446484887482324,6.948188485362992,7.965391476331508,6.4507632114986855,6.938530107357974,6.904465944745898,6.473973199636628,7.342676044088805,7.113097036138402
11700,6.825848101082107,6.793159172516508,7.312095292580508,6.379363347165333,6.84782659575363,6.817028880950142,7.205576831476796,7.8234602654755365,7.780548009790523,7.242483120270915,6.986194999803022,7.550658122305479,7.51067872271924,7.008086661960948,8.034058644230917,6.506373239184019,6.998345022076577,6.963987202890259,6.529783313426599,7.405974975503363,7.1744168381740785
11800,6.8841886831426375,6.851220362025196,7.374591833542734,6.433887820218027,6.906355028195969,6.875294085060826,7.2671629582415544,7.890327447231737,7.847048420130612,7.304384685401436,7.045906068177406,7.615193661812364,7.574872557956157,7.067984838558905,8.102725812130327,6.561983266869353,7.05815993679518,7.023508461034621,6.58559342721657,7.4692739069179215,7.235736640209754
11900,6.942529265203168,6.909281551533884,7.4370883745049605,6.488412293270723,6.964883460638307,6.933559289171511,7.2489752707782324,7.9571946289879385,7.9135488304707025,7.366286250531957,7.044551116718472,7.6797292013192475,7.639066393193073,7.127883015156862,8.089303049008793,6.56014683951007,7.117974851513783,7.083029719178982,6.64140354100654,7.457012003053448,7.2408609691963495
12000,7.000869847263699,6.967342741042572,7.499584915467187,6.542936766323418,7.023411893080646,6.991824493282197,7.3098910293562005,8.02406181074414,7.980049240810792,7.428187815662477,7.103749025262324,7.744264740826132,7.70326022842999,7.187781191754818,8.157280385555085,6.615274123875701,7.177789766232387,7.142550977323343,6.697213654796512,7.519675969465662,7.301708540366066
12100,6.9162733618985195,6.881640786069775,7.541415879236826,6.458866923035646,7.0504966239175575,7.016773334958927,7.272923437078078,7.902991802657886,7.8578048126981495,7.311344906583079,7.07047181152613,7.648281172862483,7.605952165936671,7.092816602613499,8.103552351793216,6.590135504605148,7.094442978516825,7.058007785053189,6.613985118135295,7.478797163040619,7.264890322027636
12200,6.973432645881152,6.9385138504174595,7.475339172172033,6.512245988515279,6.996412199172859,6.963474014924956,7.333030242343186,7.968305784498034,7.922745348340283,7.371769244654013,7.1289054628610575,7.711490108175396,7.668811274746065,7.151434921643362,8.170523858832828,6.644599434395273,7.153074738669856,7.116338427904868,6.668646152169471,7.540605404057484,7.324930737912162
12300,7.0305919298637845,6.9953869147651435,7.536612444075083,6.565625053994912,7.053759840149686,7.020551670784997,7.309890885847607,8.033619766338182,7.987685883982416,7.432193582724947,7.123816286488779,7.774699043488309,7.731670383555459,7.210053240673226,8.151986215032688,6.639421116220469,7.211706498822888,7.174669070756547,6.723307186203646,7.523841176551791,7.3268616463680525
